StationName,AirPressure,AirTemperature,RelativeHumidity,WindSpeed,WindDirection,Precipitation,SunshineDuration,Year,Month,Day,Hour
新北,1015.5,21.5,59.0,2.7,"東南東,ESE",0.0,0.28,2023,11,29,1
新北,1015.2,21.5,59.0,3.1,"東南,SE",0.0,0.28,2023,11,29,2
新北,1015.3,21.4,60.0,2.6,"東南,SE",0.0,0.28,2023,11,29,3
新北,1015.6,21.6,58.0,4.4,"南南東,SSE",0.0,0.28,2023,11,29,4
新北,1015.8,21.7,58.0,2.9,"東南,SE",0.0,0.28,2023,11,29,5
新北,1016.3,21.9,57.0,3.9,"東南,SE",0.0,0.0,2023,11,29,6
新北,1017.1,22.0,58.0,3.2,"東南,SE",0.2,0.0,2023,11,29,7
新北,1017.6,22.3,60.0,2.7,"東南,SE",0.2,0.0,2023,11,29,8
新北,1017.9,23.3,57.0,2.7,"南南東,SSE",0.0,0.0,2023,11,29,9
新北,1017.2,25.1,56.0,2.9,"東南,SE",0.0,0.8,2023,11,29,10
新北,1016.9,25.6,57.0,1.7,"南南東,SSE",0.0,0.2,2023,11,29,11
新北,1016.4,25.5,62.0,1.6,"南南東,SSE",0.0,0.0,2023,11,29,12
新北,1016.0,25.8,62.0,0.5,"南南東,SSE",0.0,0.0,2023,11,29,13
新北,1015.8,26.1,61.0,1.7,"西南西,WSW",0.0,0.0,2023,11,29,14
新北,1015.9,25.5,67.0,0.4,"西,W",0.0,0.0,2023,11,29,15
新北,1016.8,22.6,73.0,1.9,"西南西,WSW",0.2,0.0,2023,11,29,16
新北,1016.7,21.3,75.0,5.0,"南南東,SSE",0.2,0.0,2023,11,29,17
新北,1016.2,21.9,72.0,4.1,"南南東,SSE",0.0,0.0,2023,11,29,18
新北,1016.6,22.4,71.0,4.6,"東南,SE",0.0,0.0,2023,11,29,19
新北,1017.3,22.4,73.0,1.3,"東,SE",0.0,0.28,2023,11,29,20
新北,1017.4,21.2,80.0,1.3,"東,E",0.0,0.28,2023,11,29,21
新北,1017.8,21.4,80.0,0.5,"西,W",0.0,0.28,2023,11,29,22
新北,1018.1,20.0,89.0,0.9,"東,SE",0.0,0.28,2023,11,29,23
新北,1017.8,20.2,87.0,0.6,"南南西,SSW",0.0,0.28,2023,11,30,0
新北,1017.8,20.3,85.0,0.7,"北北西,NNW",0.0,0.28,2023,11,30,1
新北,1018.1,20.4,85.0,1.1,"西南,SW",0.0,0.28,2023,11,30,2
新北,1018.4,20.5,84.0,1.2,"西,W",0.0,0.28,2023,11,30,3
新北,1018.3,20.2,81.0,2.4,"東南,SE",0.2,0.28,2023,11,30,4
新北,1018.4,19.4,85.0,2.0,"東南東,ESE",0.2,0.28,2023,11,30,5
新北,1018.8,20.1,79.0,2.7,"東南,SE",0.0,0.0,2023,11,30,6
新北,1019.7,19.7,86.0,1.6,"東,E",0.0,0.0,2023,11,30,7
新北,1020.5,20.0,91.0,2.2,"東北東,ENE",0.2,0.0,2023,11,30,8
新北,1021.4,19.1,92.0,3.1,"東北東,ENE",0.2,0.0,2023,11,30,9
新北,1021.7,19.0,91.0,1.4,"東北東,ENE",0.2,0.0,2023,11,30,10
新北,1020.7,19.9,85.0,2.5,"東北東,ENE",0.0,0.0,2023,11,30,11
新北,1020.2,20.0,83.0,1.9,"東,E",0.0,0.0,2023,11,30,12
新北,1019.5,20.0,79.0,2.4,"東,E",0.0,0.0,2023,11,30,13
新北,1019.0,19.5,81.0,2.9,"東南,SE",0.0,0.0,2023,11,30,14
新北,1019.2,19.5,84.0,2.1,"東,E",0.5,0.0,2023,11,30,15
新北,1019.9,18.7,93.0,0.8,"東北,NE",0.2,0.0,2023,11,30,16
新北,1020.3,18.5,95.0,0.4,"東,E",0.2,0.0,2023,11,30,17
新北,1020.8,18.2,95.0,1.3,"東南東,ESE",0.2,0.0,2023,11,30,18
新北,1021.3,18.3,94.0,1.2,"東,E",0.2,0.0,2023,11,30,19
新北,1021.6,18.6,88.0,2.3,"東,E",0.2,0.28,2023,11,30,20
新北,1021.4,18.6,88.0,2.3,"東,E",0.0,0.28,2023,11,30,21
新北,1021.6,18.7,88.0,2.2,"東,E",0.0,0.28,2023,11,30,22
新北,1021.4,18.1,94.0,1.3,"東南東,ESE",0.2,0.28,2023,11,30,23
新北,1020.8,18.0,96.0,0.2,"靜風,Calm",0.5,0.28,2023,12,1,0
新北,1020.6,17.9,97.0,1.0,"東北東,ENE",1.5,0.28,2023,12,1,1
新北,1020.4,17.9,98.0,0.6,"東北東,ENE",0.5,0.28,2023,12,1,2
新北,1020.4,17.6,97.0,1.5,"東北,NE",2.0,0.28,2023,12,1,3
新北,1020.7,17.5,97.0,0.3,"北北東,NNE",3.5,0.28,2023,12,1,4
新北,1021.0,17.2,96.0,2.2,"東北,NE",3.5,0.28,2023,12,1,5
新北,1022.2,17.0,95.0,3.0,"東北東,ENE",4.0,0.0,2023,12,1,6
新北,1022.7,16.6,95.0,1.7,"東北東,ENE",1.5,0.0,2023,12,1,7
新北,1023.0,16.4,95.0,2.7,"東北東,ENE",1.0,0.0,2023,12,1,8
新北,1023.2,16.6,95.0,2.3,"東北東,ENE",0.5,0.0,2023,12,1,9
新北,1023.2,17.2,94.0,1.6,"東北,NE",0.5,0.0,2023,12,1,10
新北,1022.8,17.3,91.0,1.6,"東,E",0.2,0.0,2023,12,1,11
新北,1022.2,16.7,95.0,2.6,"東北東,ENE",0.2,0.0,2023,12,1,12
新北,1021.5,16.1,94.0,3.9,"東北,NE",0.5,0.0,2023,12,1,13
新北,1021.1,16.0,93.0,2.7,"東北東,ENE",0.5,0.0,2023,12,1,14
新北,1021.3,15.6,93.0,3.4,"東北東,ENE",0.2,0.0,2023,12,1,15
新北,1021.8,15.3,91.0,3.8,"東北東,ENE",0.2,0.0,2023,12,1,16
新北,1021.8,15.6,89.0,2.2,"東,E",0.2,0.0,2023,12,1,17
新北,1022.1,15.7,90.0,2.3,"東,E",0.2,0.0,2023,12,1,18
新北,1022.4,15.5,90.0,2.7,"東北東,ENE",0.2,0.0,2023,12,1,19
新北,1022.8,15.2,89.0,2.6,"東,E",0.2,0.28,2023,12,1,20
新北,1023.0,15.2,90.0,1.4,"東,E",0.2,0.28,2023,12,1,21
新北,1022.9,15.4,85.0,3.1,"東,E",0.0,0.28,2023,12,1,22
新北,1022.3,15.4,86.0,2.3,"東,E",0.2,0.28,2023,12,1,23
新北,1021.8,15.5,87.0,2.5,"東,E",0.0,0.28,2023,12,2,0
新北,1021.7,15.6,87.0,1.8,"東,E",0.0,0.28,2023,12,2,1
新北,1021.3,15.8,87.0,2.1,"東,E",0.0,0.28,2023,12,2,2
新北,1021.1,15.8,89.0,2.0,"東,E",0.0,0.28,2023,12,2,3
